id,ucasCode,planCode,Title,yearEntry
1,H10Y,U5UFEDPS,Foundation Certificate in Engineering and Physical Sciences,
2,K240,U6UAEENG,BEng Hons Architectural Environment Engineering,
3,K240,U6UAEENGB,BSc Hons Architectural Environment Engineering,
4,K24B,U6UAEENGY,BEng Hons Architectural Environment Engineering including an industrial year,
5,H402,U6UAERSE,BEng Hons Aerospace Engineering,
6,H402,U6UAERSE1,BSc (Hons) Aerospace Engineering,
7,H40A,U6UAERSEY,BEng Hons Aerospace Engineering including an Industrial Year,
8,HVH2,U6UCEEEIY,BEng Hons Chemical Engineering with Environmental Engineering including an Industrial Year,
9,H8HF,U6UCEEVE,BEng Hons Chemical Engineering with Environmental Engineering,
10,H8HF,U6UCEEVES,BSc Hons Chemical Engineering with Environmental Engineering,
11,H810,U6UCHENG,BEng Hons Chemical Engineering,
12,H810,U6UCHENGS,BSc Hons Chemical Engineering,
13,H81B,U6UCHENGY,BEng Hons Chemical Engineering including an Industrial Year,
14,H81B,U6UCHENGY1,BSc Hons Chemical Engineering including an Industrial Year,
15,H81A,U6UCHENGY2,MEng Hons Chemical Engineering including an Industrial Year,
16,HVH2,U6UCHENGYS,BSc Hons Chemical Engineering with Environmental Engineering including an Industrial Year,
17,H201,U6UCVENG,BEng Hons Civil Engineering,
18,H201,U6UCVENG1,BSc Hons Civil Engineering,
19,H20A,U6UCVENGY,BEng Hons Civil Engineering including an Industrial Year,
20,H613,U6UECENG,BEng Hons Electronic and Computer Engineering,
21,4H81,U6UECENGP5,BEng Hons Electronic and Computer Engineering,
22,H613,U6UECENGS,BSc Hons Electronic and Computer Engineering,
23,H61G,U6UECENGY1,BEng (Hons) Electronic and Computer Engineering with a Year in Industry,
24,H61Z,U6UECENGY2,BEng (Hons) Electronic and Computer Engineering with a Year Abroad,
25,H603,U6UEEENG,BEng Hons Electrical and Electronic Engineering,
26,H606,U6UEEENGS,BSc (Hons) Electrical and Electronic Engineering with a Year Abroad,
27,H60A,U6UEEENGY,BEng Hons Electrical and Electronic Engineering including an Industrial Year,
28,H606,U6UEEEYA,BEng Hons Electrical and Electronic Engineering with a Year Abroad,
29,H603,U6UELELE,BSc Hons Electrical and Electronic Engineering,
30,H60A,U6UELELEYS,BSc (Hons) Electrical and Electronic Engineering Including an Industrial Year,
31,H622,U6UELENG,BEng Hons Electrical Engineering,
32,H622,U6UELENGS,BSc Hons Electrical Engineering,
33,H62A,U6UELENGY1,BEng (Hons) Electrical Engineering including an Industrial Year,
34,H62W,U6UELENGY2,BEng (Hons) Electrical Engineering with a Year Abroad,
35,5.00E+00,U6UEMENGX,BEng Hons Electro-Mechanical Engineering,
36,H109,U6UENGNRF,BEng Hons Engineering with Foundation Year,
37,H612,U6UETENG,BEng Hons Electronic Engineering,
38,H612,U6UETENGS,BSc Hons Electronic Engineering,
